summaries|pros|cons|adviceMgmt|ratings
Not very good|Pay and the health benefits.|Do not further the careers of their own employees, in large part.|Build your employees up, and promote from within as a rule, not the exception.|2.0
System Administrator|Kaiser is a secure organization, once you get hired your in and the benefits were excellent.The company offers excellent bonuses for their full time and contract employees.|Slow promotion rate. It's a who you know type of organization, if you don't network it will be really hard to leverage your career in the organization.||3.0
WE MISS YOU IN OHIO!!!!|This was the absolute BEST company I EVER worked for!!! The pay and benefits were out of this World!!!! Staff was appreciated and many stayed for 30++++ years!!!|Kaiser Permanente closed all offices in Ohio. :(|Thank you for giving your employees what everyone else should. Kaiser just made you feel like your part of a family. Very much missed by me, my coworkers and the patients we served.|5.0
Good benefits|Great benefit for union employees|job transition to another department|...|5.0
Love it here!|Free healthcare, reasonably nice environment so long as the unions aren't pissed at management or each other; I like helping people so I tend to just be happy in my job and I like going to work each day|Labor/Management environments can be stressful sometimes|Don't forget to thank the little guys....|5.0
Great place to work and learn|Good benefits. Lots of smart , highly talented and dedicated employees. Career options are good.|There are great job opportunities in the organization but it can really be a challenge to move up and around within the company.|Show dedication and appreciation to the talented people at all levels who work for the company. Put in place a strong talent managment program and process. Make intentional and geniune steps to provide grow, develop and provide real career opportunities to your employees and then, measure the outcomes of these efforts|4.0
Company that provides great benefits...|Company provides great benefits and pay increases. There is a yearly cost of living raise and bonuses.|Staffing process could be improved. It is sometimes difficult to advance in the company, seniority plays a big role.||4.0
Feel taken care of|Big company makes you feel secure. Good salary and benefits.|Department is growing and some insecurity. Hopeful it will get better.||5.0
Okay place to work|Great health benefits, generous vacation time, lots of people to tap into for specific expertise|Don't get a lot of opportunities to take vacations and if you do, you pay for it because emails pile up, does not provide good promotional opportunities, very political.|Need to improve work-life balance by increasing number of holidays and decreasing ETO/PTO that way everyone is forced to stop working at least for part of the day. Employees tend to get promoted because of who they know or how much they brown-nose instead merit. It is very discouraging to the employees who work honestly and don't brown-nose.|2.0
flexible and balanced|flexible work hours including remote work location|Lack of experts. Disconnection between the points of function.|See the cons and figure it out.|4.0
Thrive it sounds nice...|Decent salary and benefits at least for as long as we can hold onto them|Access to services especially mental health can be challenging, senior management trying to eliminate pension and increase co-pay for services|share the wealth, practice what you preach ie. Thrive|2.0
Disapointing|Great package, benifits , and beautiful facilities.|Poor patient care, and poor employee recognition|Empover your employes to thrive.|2.0
Dietitian|Kaiser has good benefits, especially with medical insurance, dental insurance, life insurance and paid time off.|Unions seem to control Kaiser, always getting their way. Unions threaten with a strike and Kaiser gives in quite easily to the union demands. When there is a union grievance, Kaiser usually supports the union rather than their own management.||3.0
Very gratifying from both a career and a community benefit standpoint|Company values, community benefit, excellent care and delivery model, competitive compensation, great benefits|Very large organization, communication can be fragmented||4.0
Micromanaged|Great Benefits-good pay and union to back you up.|Working with a bunch of women who can be catty||4.0
A very challenging and safe environment to work|The benefits and employee policies and availability of different options to move within the organizations|Too much politics to an extent that good work is stopped to carry on politics|People working within the organization also bring value to higher positions , try them|3.0
KAISER ALLOWS BAD MANAGERS TO BULLY EMPLOYEES|The employees are wonderful, Benifits are Great, Salaries are Competitive|Mgrs. Bully Employees thru Performance Plans as a way of pushing them out the door. Ability to transfer to other positions is difficult|Fire managers from the top down! Get back to the family, caring atmosphere that the company was founded on|2.0
Great company|Great benefits, people are nice and genuine|major group think and consensus||4.0
Bottom line|Great salaries and benefits.Division of Research funding is mostly driven by federal grants which are getting very difficult to obtain, and therefore in the past few years, a large percentage of employees have been laid off. The parent company does not cover DOR employees when grant funding ends.|Division of Research funding is mostly driven by federal grants which are getting very difficult to obtain, and therefore in the past few years, a large percentage of employees have been laid off. The parent company does not cover DOR employees when grant funding ends. Used to feel like a family, but now feels like a machine.|DOR management needs to become more human and less bottom line.|3.0
My Experience|Forward thinking organization that has really changed it's brand. Senior leadership tries to anticipate what needs to be done to stay relevant in the market. The benefits are excellent and there's a feeling that long term employees are valued. If reductions are needed, they are usually done through attrition rather than forcing people out. Being a large organization, you're experience and how much you like working here depends on the department you're in,|Like any large organization, there are some inefficiencies from bureaucracy and having to figure out who knows what. There is a tendency to make decisions based on consensus which can lead to initiatives taking longer than they should. As I mentioned in the pros, people are valued and loyalty is rewarded. The downside of that is you may end up working with someone who's not as engaged anymore and just biding their time to retire.|Keep pushing to improve and don't get complacent just because you're a dominant player in the market.|4.0
Mostly Good|Great benefits, lots of career options, work life balance|Undergoing lots of changes currently||4.0
Great place to work for now|The health care benefits are great - no-copay for pregnant mothers, $100 hospital stay to deliver a baby, organization pays a lot for employees' health care in today's high insurance costs|Not fond of the culture - lots of employees there just to collect a pay check / have fun, culture seems to hinder hard-working employees|Distinguish between hard-working employees and non-. Those who wish to work hard and advance should be given such opportunities, rather than being hindered by less-than-hard-working employees / culture|4.0
LVN|Good pay. Excellent management. Union. Great work life balance.|Cliques. But do your job, focus on the patient and you will be ok.||5.0
Work experience|They have great medical benefits if your coverage is health maintenance organization|This company have a High turnover rate. They perform layoffs often.|You need to care about your employees more. Decisions are made without really seeking the truth.|1.0
Great people to work with. Great medical and retirement benefit.|Provide great opportunity in training. Company has standardized method of procedures. Lots of pro-active health information and activities. Allow workers to telecommute.|Sometime it is hard to communicate between groups. Members from other groups may not be cooperative until management step in. Too depend upon contractors and vendors to perform works.||4.0
Great work life balance|Great work life balance. A lot of learning opportunities. Good people. Great benefits.|Hard to move up or move laterally.|The direction is great. Although it is tough to do in a large organization with our regions that seem to function as their own separate companies at times. Find more ways to speed up the changes to all of Kaiser.|4.0
Excellent Stability|Stability, advancement opportunities in many positions, many locations, good health benefits, good training.|Labor Management Partnership leads to labor and management being a bit too cozy. Subpar managers are often not removed unless they offend doctors, create a legal risk, or waste money and even THEN it can take years (so if you don't like the management you should transfer to another department/location). Favoritism and nepotism are officially frowned upon but have been known to occur.|Hold management just as accountable as employees. Continue bonuses to employees; it builds morale. Continue to seek to improve service because it increases patient satisfaction and employee pride.|5.0
Higher than average pay|Most jobs are union- higher than average pay. Hiring process has many layers and takes forever!|Low accountability by management|Know your union contracts and how to work with them.|4.0
RN|Great team and staff to work with|Not much career advancement as far as promotions.||3.0
Company has great benefits, but if you're not careful where you land, you can become stagnant.|The organization has a lot of wellness programs and markets employee wellness. The benefits are great.|Not every part of the organization works the same in inspiring career growth for employees. You have to be careful not to get too comfortable and keep your skills sharp. It's also hard to see what the rest of the organization is doing since it's so big. You have to network well if you wish to move around in the organization.||3.0
cool place|I like to work here|there is nothing bad to say||5.0
Kaiser|A large successful health care company. Very employee focused.|One can get lost in the shuffle. Multiple layers of management.||5.0
Health Plan Senior Executives are Figure Heads|Great telecommuting policy. There are some good people at this company that try and do the right thing. There are too many Executives that really don't care until it becomes and issue and then look for a scape goat.|Perks-No; Personal Growth- No; Office Culture - Vacant; I believe it this were a public company this Executive Management Staff would be under a lot more pressure to succeed and take personal accountability. I really think the EVPs need to have more experience. Too bad for the good workers.|Finally the CIO has left the building. Too many run away projects with big tickets. Not sure I can advise a management team that is self-serving.|2.0
Stability and job security are hard to find these days.|Good Pay but you work for every dime.|Communication within the organization needs to improve.|Need consistency in processes and dealing with employees with behavioral issues.|4.0
Solution Consultant Specialst|Benefits is great, can work anywhere it can balance between work and life.|Not many interesting work to do.compensation is average.||5.0
My experience is friendly and helpful|Kaiser cares about their patients but Kaiser to0 patients with Obama health care|Getting anything done make to decisions more training with the staff to be more knowledgeable|Better care|3.0
Great place to work at|Great environment, friendly, courteous, clean, patient-centered|None that I could think of really|Keep up the good work|5.0
I Got Out As Soon As I Could|There are none.|Too many reorganizations, low pay, overworked, lack of onboarding, zero training, micromanagement and poor leadership|KP needs to be flattened out, too many layers of mid management in all departments. I mean how many directors and executive directors can one department have? My God it makes no sense at all.|1.0
Job satisfaction depends on your manager|If you have a manager that cares about his/her team, this is a good place to work. Work-life balance is possible with the right manager.|Under-qualified management makes for a very unpleasant work situation and low morale. Work-life balance is not company-wide and only applies if you have an understanding and flexible manager who values quality work and satisfied employees.|Need more checks and balances when hiring individuals into a managerial role, especially external hires. There needs to be substance to their qualifications, don't hire just because you think there may be a personality/corporate culture fit. Chances are the personality that you witnessed in the interview is not the one showing up to work. This produces low morale for the employees under this type of manager.|1.0
Awesome place to work.|Large pool of employees so there is always ways to get time off. Room for growth. Competitive salaries.|In my department we had new management and there was added work load for the same pay.|Listen to your employees.|5.0
Good Benefits, but poor working culture|If you are working for the Health Plan or Program Office, pay is below the industry average (around 30-40 percentile). Medical benefit is okay. However, PTO is pretty reasonable.|Dont expect any pay raise for the next couple years. KFHP basically freeze all its employees' salary in order to have enough money to raise the salary of the hospital and medical groups physicians.Promotion is terrible, but only happen annually.Work culture and communication are terrible. Resource allocation is a disaster. There are teams with large group of team members that takes months to finish projects that a person can finish it within a week.|Good team spirit leads to good service quality. Satisfying customers by squeezing out employees benefits will lead to bad customer experience.|3.0
Bureaucratic, hierarchical organization; hard to get things done|One of the last companies to offer a pension (after 5 years), as well as a 403b; also lots of vacation time but it becomes difficult to take time off because of reduced staffing. Training is mostly in new business processes because they are constantly changing; very little technical IT training, if at all.|Biggest issue is most of the IT middle management (and some senior) have very shaky credentials when closely examined. Most have no technical training or experience, no hands on technical that would be required elsewhere. Lots of crossovers from the business side with no technical training. Lots of certificates and degrees(if they have them) from for-profit diploma mills. The culture is like a small town's; promotions are usually based on relationships rather than actual experience. Poor and mediocre performers with good connections are protected.|Dump HR and bring in outside consultants - HR is part of the culture/problem|2.0
Great Company with a Great Mission|This is a great company to work for, and I've learned many things over the past several years.|Difficult to grow and get promoted.|You will lose your good workers if you don't pay attention to those that do their jobs well and don't complain.|4.0
Seems great, but reality bites|An all inclusive, club like atmosphere to work. In offices, very community oriented, and supportive feeling. Corporate Kaiser feels like a great place to work.|Hospital Kaiser, not a very cohesive place to work. Many units seems unsafe in the floor nursing area. Managers do not seem to listen to their nurses, that same spirited feeling in the corporate side does not flow over into the hospital and patient care areas as well.|Actually practice what you preach. Many nurses are not on board with Kaiser's work approach, and they should be. Listen to your employees more, and have that spirited part of Kaiser really shine throughout all areas. Not just in the office environments.|3.0
KP experience|Good pay and benefit. I recommend.|Labor and management partnership is definitely not a partnership||4.0
Kaiser|Great Company, Awesome , amazing, fantastic benefits|I don't feel that the leadership knows what they are doing all the time.Communication is and will always be a huge issue||5.0
Corporate World|Stable and consistent, big organization, lots of jobs|Not based on talent and skills, based on # of years||3.0
Great company to work for|Pros are salary and benefits|Desktop support department is Union based and run by a some very unprofessional management teams. Work life balance is not as the company dictates and growth is quite difficult within the Desktop Support group.|MORAL IS AT ITS WORST FOR DESKTOP SUPPORT AND FAVORITISM RUNS RAMPID. RACISM IS STRONG IN REGIONAL OFFICES WITHIN THE ESC DEPARTMENT. CONSIDER MAKING CHANGES|5.0
KP is a good place to work with many high performing individuals|great coworkers. I'm proud to work for KP. They do a lot of wonderful work for the community.|Never enough staff to get the job done, resulting in a lot of pressure to meet timelines.||4.0
Good benefits, poor upper management|The pay and benefits are good.|Terrible unethical upper management. Too set in old ways. The company needs new mangers, directors with new ideas with strong leadership. The managers take everything personal and if they don't like you, they would do anything to get you out of the door.|Get rid of the whole top management staff and start over with people who are people oriented, has leadership skills, and truly care about the well being of the organization. HR is very crooked and have a lot of shady cover ups. They protect the dirt that managers and directors dishes out rather than getting rid of them. They do a lot of unethical stuff behind the CEO's back.|3.0
Digital Services Group - Pleasanton|Dedicated people, products that people really use and depend on, some great innovations. Committed to user-centered design. Benefits are quite good and vacation really adds up.|People are stressed so the work culture suffers - people are too busy to say hello. lip service to work/life balance, frequent re-orgs with no apparent gain, salaries tend to be lower than similar jobs in for-profits.||5.0
Great company!|Great place to work. Leadership is employee friendly. Good benefits. Relax work atmosphere.|Since the work atmosphere is relax, sometimes things get long to be implemented.||4.0
Good company going through massive change|Very mission-driven organization. Many very good people who are passionate about their work. For the most part KP encourages work-life balance.|Some unnecessary internal turf wars. The key to landing a good situation within KP is finding a group that's healthy and productive, and that supports work-life balance. Health care reform is putting pressure on the organization in many ways. Related: a wave of staff cuts has begun and it won't end soon.|Make time to meet with all staff one-on-one. Take staff concerns seriously when real issues are raised.|4.0
KP Georgia Region: Too Much Work|(I am a salaried, non-clinical employee in the regional offices.)As an employee and a member, your health coverage is practically free.KP Georgia has a very diverse workforce.Leadership is less diverse, but still impressively so for the corporate world.Vacation time is pretty good and your accrual rates and caps increase with time at the company (but sick and vacation time come out of the same bucket).When you do get laid off, the package is very good.You get to work with some pretty smart people.|"Resumes detailing impressive careers but no college degrees will almost certainly be rejected.Salaries are weak. (But of course all employers always say that your salary is commensurate with the market.)The workloads are just grotesque. Not a single one of my department-mates or internal customers does the work of ""only"" one person. Your team gets slashed even though the incoming work is increasing. I know one group that was cut from six people to one.The best way to move up is to move sideways.They have the worst 401k matching I've ever heard of.Times are too tough for salary increases this year. But next year everything will be wonderful. (repeat every year)Travel budgets are supposedly cut to zero, but you might bump into an entire team that flew out just for meet and greets. Teleconference rooms sit largely unused.In some departments, the concept of work/life balance is a myth.Empty offices abound; you must stay in your cubicle.Sometimes you wonder if it really is more about who you know than what you know.You have to work with some pretty dumb people."|Stop letting lower management decide what work/life balance means. They base it on irrelevant personal preferences.Acknowledge that some (many... maybe most?) employees are under workloads meant for multiple people.|3.0
Kaiser is good for families|Ir you are looking for a positive worklife balance this is the company for you.|Career growth is very slow at KP. People stay because of worklife balance and superstars either leave or become kaiserized. The salary at KP is lower that competitors but worklife balance makes up for less salary.|Focus on keeping the superstars and worry less about cutting cost. High performers will make the company perform better.|3.0
Good place to work but you must be patient with the bureaucracy|Great mission, company delivers great health care.Good benefits and competitive pay.Good opportunity to move into other jobs.|Like any big company, it is bureaucratic and you must be patient and work in the culture.Long decision making process, too many stakeholders.|Streamline the decision making process and number of stakeholders who can decide.|5.0
Project Management Feedback|Has great vacation, health insurance, and retirement benefits. Great collaborative culture with physicians and administrative teams|Can be highly bureacratic; middle management and project managers can have poor work life balance.||4.0
Many people are on-the-job retired|Great experience as a patient of Kaiser! Great services offered and KP keeps in front and uses technology to the benefit of the patient.|"It is not fast-paced at all. Many people appear to be hoping no one notices they don't work much. The expectations and the accountability are low. I am not sure how they provide such great patient care with what happens in the ""back offices."""|Create a strong vision, hire motivated and driven people and hold them accountable for some lofty goals.|2.0
Conflicted Organization|Work like balance and the pay is competitive|Nepotism is rampant. Leadership makes self centered organizational decisions.|Stop being selfish leaders|2.0
Kaiser pays very good for nurses|excellent pay with yearly raises and yearly bonuses.|Home health and hospice is very difficult and time consuming nursing work.||4.0
IAT Internship|Great team, getting involved with tech+health is fascinating.|Interns are generally the only under-30s in IAT.||3.0
PCT|good benefits, union, overtime opportunities|bad management, under staffed, old equipment, overcrowded rooms||2.0
I loved it|A friendly environment with helpful nurses and ancillary staff. Management and workflow were well organized. Manager had an open door policy and was as fair as possible.|Surgeons and physicians can sometimes be irritated and annoyed from the get go so it's up to you not to let it affect you when they are in that mood.||4.0
Great Place to work|As an employee - we get awesome benefits|I currently have No Complaints|N/A|5.0
Great employer|Kaiser is very good to their employees. Benefits are amazing. They also really care about members and providing the best service at the best price. I've worked for Kaiser for over 7 years and have always felt well compensated and appreciated.|It takes a long time to get anything done. There are also a lot of politics that seem to hinder progress.||5.0
Great Place to Work|Very collaborative with a strong focus on health and doing the best thing for the patient and their family. They're very focused on supporting your health as well, including a healthy work-life balance.|"It is healthcare, so there's always more to do than there are resources to get it all done. However, I've never had an issue here with everything being the ""top prioirty,"" so there is understanding that it can't all be done at once."||5.0
FUBAR|Benefits, not salary unless you are a VP or higher|Incestuous and myopic, no carrer here unless you know someone; no real strategic vision exhibited by the CEO, just a glad hand survivor|Practice diversity of employment experience...CPA's aren't Gods...stop the nepotism...almost all of your managers (up to SVP) are incompetent and lack any techinical skill or vision...the Peter Principle in spades!|1.0
This company's goal is to provide exceptional and affordable healthcare to it's members.|Kaiser provides great health benefits and online training and there are many locations in northern and southern California. If you are the medical side there is more job security.|Even though senior management may want to make it a great place to work, it is still a business and they will let their employees go to reduce cost.|Remove the fear from employees that tomorrow could be their last day.|4.0
Refreshing change from previous employers|Being a non-profit, MOST (not all) people are focused on improving healthcare rather than their own careers and personal net worth. Great benefits, not least of which is PTO. Never had anything close to it with previous employers.|Don't expect wild company parties and off-site meetings.||5.0
Very rewarding at times and challenging.|The reputation that Its a good place to work.|Workload can be very heavy at times. No consistent in training.|need more training and meetings to see where the direction of Kaiser is heading|3.0
Great|Professional working relationships are great|Same admin headaches as any big organization. But they make a real effort to minimize impact on physicians||5.0
love the place|KP is really the right model in healthcare and has such potential to solve the issues for Americafocus on people and the memberslooks of opportunity to take different roles within the company|really large and sometimes takes a long time to get things donelike any large company there are political issues to navigate||5.0
Large company, lots of possibility, incompetent managers leading many teams|Lots of areas to learn. Many departments to learn different aspects of the business. Lots of projects to work on. Opportunities for travel. Leader in the healthcare industry. Nice work environment.|They promote people who've served many years but have no people or leadership abilities. Project work can be overly demanding. Work colleagues have egos that prevent harmony and support.|Just because a person has a degree in some area, or has been employed in the organization for many years that does not make the person management material.|3.0
KP is a progressive company that, for the most part, treats its employees well.|The company pays a lot of lip service to work-life balance, employee wellness, diversity and inclusion, and employee development. For the most part, it lives up to these goals.|As a large corporation, the atmosphere can be a bit stuffy, and it takes a long time to accomplish things, address issues, and fulfill employees' needs. Beaurocracy and red tape are the name of the game.|If you don't promote those deserving of promotions, you will lose them. You demand loyalty -- even brand evangelism -- from your employees, but you don't offer it back to them. If budget cuts render even your star players faceless, then you don't deserve the stars.|3.0
Great coworkers, horrible management|HoursRelatively easyCool coworkersBenefits|Terrible managementBasically a nurse'a assistantGlorified customer service positionDid not pay for office suppliesTerrible training|Listen to your employees! Appreciate the hard work they put in.|2.0
one big fraud|Some of the doctors care|Kaiser in general has no idea where they are going because they do not know what they are doing as a medical establishment we have been watching them deliver bad decisions for over 15 years.|Do what you say. You can not go big if your people are small and have no ideas|1.0
Huge company|good benefits, smart people and a company that really lives its motto.|large company... takes a long time to get traction on projects.|share some career planning with staff.|4.0
Sa|Kaiser cares about their members almost to a fault.|Getting anything done means crossing so much red tape.||3.0
satisfactory|the members'satisfaaction is paramount to their well being|bureaucratic entanglements encumber service for members|outreach to diversity|3.0
It was a most enjoyable first experience in the medical field.|Working in the clinics as a float gave me the opportunity to gain knowledge in a wide variety of fields. It made me quite versatile and gave me insight as well as guidance on what I was really interested in and what I was not so interested in.|At the time I worked there there seemed to be less teamwork and more competitiveness. If you worked closely with your doctor and didn't participate in the negative gossip then soon you would not be approached with it as you would have made it known that you were not interested in that sort of thing. You learn to work with people with a smile regardless of what they say under their breath about anything or anyone. You are there for your patients not to be a target for your coworkers.|I think that Kaiser is ran quite efficiently if attention is payed to the finer qualities of a person and they are placed where they will be most productive. Almost everyone can be placed somewhere and with the right training they will succeed at what it is they are doing.|5.0
very happy with the environment, the pay and their mission statement|Lots of ancillary staff. Plenty of vacation time (currently 5 weeks/yr). Very friendly atmosphere. The patient is always the most important part of decision making. Nobody hovers over my shoulder to not order something or not do something to save money.|A very big group, sometimes it can feel a little strange because new people come and go. A lot of change occurs so one has to be able to adapt. The expectations are high, work load during the time you are there is heavy.|Need to figure out how to to empower those who go above and beyond by recognizing them and giving them a financial incentive to stay. Preventing burn-out is very important. Burn out doesn't just mean the person quits, sometimes it's worse when the person stays but just emotionally checks out.|5.0
Learning Experience.|Theres always something new to learn each day.|Not being hired permanently thru Kaiser,but i guess its okay for right thru a third party.||4.0
Great benefits, loads of opportunity, making its way out of the Stone Age|Excellent healthcare benefitsDecent benefits all around (vacation, leave, etc.)Large company with lots of opportunity for networking and growthVERY supportive of work/life balance|Health Care is a complex industry, loads of regulation can stifle innovationThat said, KP is one of the most innovative Health Care companies in the US; innovation is valued and encouragedVery political, management hierarchy often impacts staff morale||4.0
Toxic environment|good healthcare benefits, especially at the manager level on up.|very political and at some division(s) & departments can be toxic with the working environment especially when senior management figures are micro manager and are not open for opinions nor collaborations.|Hire and promote the right personnel to lead not the reward those due to political alliances.|3.0
Overall, it's a good company to work for.|Good benefits; includes pension (which is hard to find at a lot of companies).|- Promotions are very slow to non-existent. Hiring can also be very slow.- Benefits seem to be continually reduced- Job security is not as strong as it used to be (except for the union side)|Speed up the promotion and hiring process; reduce layers of approvals.|3.0
Great Place to Work|Work Life Balance is great!|Very hard to get in||4.0
Senior Assistant|salary, coworkers, facilities, incentives, flexibility|management and lack of accountability||3.0
Good learning experience.|Good service culture. Does a good job finding invested employees. Not a lot of turnover.|Can be difficult for part-time employees to find a solid position. It can be a challenge to cross over into a different branch of the company.|Invest in those that really want to grow. Have a more stream-lined approach when it comes to career paths.|4.0
good|good , esp for families with young kids. Flexible.But no stock options and salaries are not as high .very good for long term|commute takes long time for me.||4.0
Best place to work|They really encourage the theme to Thrive to their employees as well and allows for a great growing community|It has a much different business model than most corporations||4.0
Great Benefits|Benefits are awesome and after 5 years you can be vested in a pension plan. The wok is challenging and fun you will never get bored.|Depends on the department you are in but the people and the culture is very ridged. Not a location for young thought on IT process or bleeding edge technology.||3.0
Lost in a big sea|Benefits, the cafeteria, employees are friendly|Management is clueless. They promote based on who they like, not skills or deserving people. They don't treat employees well and HR will always back the supervisor.|Grow up. Learn to accept different people. Listen to your employees.|2.0
The model is good. The implementation of concept has flaws.|Large integrated healthcare system in California.|I prefer not to comment|N/A|2.0
Data Analyst at Kaiser Permanente|Kaiser offers good benefits, good working environment. Very friendly atmosphere. The patient is always the most important part of decision making.|A very big group, sometimes it can feel a little strange because new people come and go. A lot of change occurs so one has to be able to adapt. The expectations are high, work load during the time you are there is heavy||4.0
Great company, wtih great benefits.|I worked as a salaried Consultant for six years. Benefits are good, pay was decent. PTO is awesome. Allowed me to telecommute once a week so promoted a healthy work-life balance.|Doctors get to enjoy all the big bonuses and pay increases. Not much help in career opportunities. Can be poliitcal at times when you work with senior management. Worked hard but never got promoted so not sure if they valued my contributions.|If you want to hire from within, maybe show what skills you need in order to advance your career in the company|4.0
A lot of BS and lower pay|Kaiser offer a lot of vacation days, pension, and a lot of opportunity to take on additional responsibility and gain experience.|It is near impossible to get a promotion or a pay raise. The salaries are not competitive.|Build career paths for your staff and support them in moving forward. Highlight opportunities to move around in Kaiser and advocate for pay increases for your staff.|3.0
Excellent employer to work for.|This company has great benefits.|They are always working on things to improve customer service.||5.0
Company is going down hill quickly!|Benefits. Rumor has it that they will be changing|They don't know what they're doing. Say they need to change to be more competitive but don't really change and just cause hysteria with their employees. Very dysfunctional….They have been talking about how they are going to change to be more competitive but they don't really change at all. If they do make changes, they aren't really for the better.|Really examine who you put into senior leadership positions.|1.0
Very clique-y along with a High School mentality, and rampant with favoritism.|"The Pay. I was(or I was supposed to be) part of the Union meaning better pay and benefits. Great health insurance, meaning I didn't have to ""leave work"" to see my physician. Received mileage for training."|"I was very excited to work here in the very beginning. However I should have taken heed to the negative reviews from former employees as well as the legal trouble Kaiser is ALWAYS in. Kaiser is always being sued by either a patient or a former employee. I was terminated during my probation period over hearsay.The 70-something days I was there, I only saw my supervisor TWICE for maybe a few hours. Yet she claimed she received all these complaints about my attitude and my work attire: she claimed someone said I was wearing jeans and a mini-skirt. Yes...a mini-skirt. And she was so convinced that this was true, despite only being at my work location twice. How would she know if I violated dress code if she was almost NEVER there? I had never heard a word about anything I was doing wrong until the day I was fired. Nothing.Now to my coworkers: lazy. I was left to my own devices many times due to my coworker either picking up her car at 3pm (not allowed, by the way), and holding long conversations with her husband or other employees while patients are waiting to be served. Day after day, I was handling the window and the phones on my own because my coworker didn't feel like working. Yet no one complained about that. Not to mention, on one occasion, we ""lost"" a patient's school form. My coworker did not document where she left the form and the patient made a complaint to my department manager. After some research, we found it upstairs in another department (as the patient was coming in over the weekend for some other business). My department manager actually blamed the front desk clerk in the OTHER department for not giving the form to the patient....and NOT my coworker, who failed to document where she put the form in the first place. That should have been my first red flag, because documentation is EVERYTHING in a Medical Records department.I did file a complaint about HIPAA violations to OCR. Maybe that had something to do with my termination. But hearsay does not hold up in any court, INCLUDING unemployment. Which of course I won because Kaiser could not produce any evidence of my wrongdoing. The shock and the pain of being fired has worn off, because I hold myself to a high standard, and I do not operate well in a high-school work environment that is rampant with favoritism. Despite losing my income(which was GREAT) I am glad to be gone."|It wouldn't kill you to frequent your designated locations so you can see how employees are REALLY working. And to upper management, you need to be VERY CAREFUL who you hire as a manager in a meticulous department such as Medical Records and Health Information. Patients cannot afford lazy and incompetent employees handling their private medical information.|1.0
Leadership is old and stale.|Because Kaiser has a blue chip reputation in the industry, having work experience at Kaiser on my resume has opened more doors than I can count. Tough it out while you're working at Kaiser and the payoff will be when you leave.|Petty and dishonest management and leadership. They say they promote from within, but I didn't find this to be true. You will not be valued unless you are a clinician (RN, MD).|"Demonstrate stronger values like integrity more often and more consistently. Bring in some younger, experienced talent. Enough of the ""working retired""."|3.0
fulfilling|great learning environment - nuture and develop leaders|difficult to manage complex patient populations||5.0
Excellent experience|Opportunities to influence decision making processes of Management.|Politics and big ego of immediate manager|More transparency|5.0
great company|there are very good benefits|in research positions, many jobs are based on external funding so not much stability||5.0
Kaiser Permanente Ohio|Disclaimer: no two KP regions are exactly the same. This is mainly my KP Ohio experience.Great benefits, great team, real focus on improving the quality of healthcare and truly try to put the patient first. There was good career growth and leadership supported improving employees skills and education.|In Ohio we had horrible C level executives. KP in general has a certain hubris that they are the biggest and best. I saw this arrogance as playing a large part in Ohio's downfall. Leadership and marketing failed to notice the market pressures and their rebranding solution was ill advised. KP is a large institution. Because of this it's hard to institute change in a timely manner. In regions that KP is not dominant, that slow to change environment can lead to it's decline. I watched as cuts were made and as that occurred, the patient experience declined. Expect a very corporate environment with lots of meetings and policies/processes that are slow to change.|Learn from the mistakes of failed regions and do not reward the leaders of those regions that failed with new jobs/promotions in the remaining states KP has a presence.|5.0
Very professional, employees are engaged.|I like working here because the network infrastructure is critical and directly impacts patient well being.|It is very busy and requires your full attention and you feel as if you are working day and night in IT.|The management does a really good job at giving recognition and should keep this up, possibly add certificates or awards.|4.0
Wonderful !|Great Work life BalanceGood People|Some Salaries can be Low||4.0
KP 'eh|great benefits lots of locations|mangers don't get enough training and there are serious morale issues as a result.|train your managers better on how to be good managers make it a priority|3.0
Marketing management team needs to keep up with changing dynamics in the Healthcare industry.|Almost everyone works from home on Fridays and you can pretty much take PTO whenever you want.|If you are fine with status quo and do not want to move up this is the job for you. Little to no room for promotion and decisions move at a snail's pace.|Management needs to move faster and recognize the player and the people who make a difference in the organization. The good ones get smart and leave.|3.0
Good experience at the hospital|Work environment promotes patient care and employee care.Pays above average compared to other hospitals in the area.A lot of growth potential.|Presenting new ideas and getting them applied can be difficult, do to an older long lasting culture.Your voice depends on seniority regardless of your ideas being solid or not.|Take everyone's suggestions as valuable, sometimes systems aren't growing because old systems have not worked out as efficiently as expected. Change is necessary for growth.|4.0
Work/Life Unbalance|I you get sick you are close to medical help.|Very unorganized and reactionary for a large well-respected company.|Get some managers with people skills and treat the employees better.|1.0
Loved My Years There, But The Environment Was Changing|I worked at KP for many years; well compensated with good benefits, learned a lot, very interesting work, and most people were great and committed to the Company mission and patient care.|The environment started changing several years ago. In the facility where I worked not all were held to high standards of conduct and collaboration.|Maintain a respectful workplace and assure all model high standards of conduct.|4.0
Great health care company to work for.|Feell like you are making a difference in people's lives.|The union seems to get in the way of a useful and positive working environment.|Really work with every level and communicate with a nondemeaning attitude to every level.|4.0
My experience was very good at Kaiser. The pay is good and the benefits were even better. A job to retire to.|Benefits, pay, and opportunities. Job security|The raises were always small and the cutlure of each facility was different.|Leadership at Fontana Medical Center need to be fair. There are a lot of politics that makes it unfair for some at the bottom.|4.0
